,precision,recall,f1-score,support
Vid 1,0.9035087719298246,0.9279279279279279,0.9155555555555556,111.0
Vid 2,0.9404761904761905,0.9404761904761905,0.9404761904761905,84.0
Vid 3,0.9745762711864406,0.9663865546218487,0.970464135021097,119.0
Vid 4,0.9745762711864406,0.9745762711864406,0.9745762711864406,118.0
Vid 5,0.967032967032967,0.9565217391304348,0.9617486338797815,92.0
Vid 6,0.9494949494949495,0.8468468468468469,0.8952380952380952,111.0
Vid 7,0.9572649572649573,0.9911504424778761,0.9739130434782609,113.0
Vid 8,0.96875,0.9587628865979382,0.9637305699481865,97.0
Vid 9,0.8879310344827587,0.9537037037037037,0.9196428571428572,108.0
accuracy,0.9464847848898216,0.9464847848898216,0.9464847848898216,0.9464847848898216
macro avg,0.9470679347838364,0.9462613958854674,0.9461494835473849,953.0
weighted avg,0.9471786612921798,0.9464847848898216,0.9462955607471059,953.0
